timestamp,date_GMT,status,attendance,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1501944600,Aug 5 2017 - 2:50pm,complete,1800,Triglav,Olimpija,0.67,1.89,0,0,0,0,0,0,"","",2,12,5,1,2,0,5,21,2,4,3,17,21,12,35,65,2.33,39,67,39,28,9,25,67,10.09,2.95,0,0,0,0,0,0,0,0,0,Športni Center Stanko Mlakar (Kranj)
1501957800,Aug 5 2017 - 6:30pm,complete,900,Rudar,Krško,1.33,0.56,0,1,1,0,0,0,"","65",6,5,4,0,6,0,15,7,4,4,11,3,18,23,53,47,2.61,50,72,50,28,17,31,70,11.91,3.22,0,0,0,0,0,0,0,0,0,Štadion Ob Jezeru (Velenje)
1502031000,Aug 6 2017 - 2:50pm,complete,1350,Ankaran Hrvatini,Maribor,0.72,2.50,1,5,6,2,0,2,"64","2,36,56,80,90",4,9,1,0,0,0,6,14,4,2,2,12,9,5,41,59,3.11,47,89,64,36,22,39,59,10.23,2.50,0,0,0,0,0,0,0,0,0,Športni center Dravograd (Dravograd)
1502042400,Aug 6 2017 - 6:00pm,complete,350,Domžale,Gorica,2.22,1.00,1,1,2,0,0,0,"66","52",5,7,0,0,4,0,13,11,4,8,9,3,14,15,51,49,2.59,36,72,45,23,9,31,53,13.56,2.45,0,0,0,0,0,0,0,0,0,Športni Park (Domžale)
1502467200,Aug 11 2017 - 4:00pm,complete,470,Celje,Triglav,1.83,0.89,1,1,2,0,0,0,"66","86",5,2,3,0,1,0,10,8,6,4,4,4,16,17,53,47,2.95,53,83,53,28,17,31,56,9.33,4.11,0,0,0,0,0,0,0,0,0,Stadion Z'dežele (Celje)
1502475600,Aug 11 2017 - 6:20pm,complete,4200,Maribor,Domžale,2.00,1.83,0,0,0,0,0,0,"","",5,7,1,0,1,0,14,14,5,6,9,8,12,5,51,49,2.64,56,67,56,34,17,36,70,14.45,2.28,0,0,0,0,0,0,0,0,0,Ljudski vrt (Maribor)
1502553600,Aug 12 2017 - 4:00pm,complete,500,Gorica,Aluminij,1.61,0.94,1,0,1,0,0,0,"90'4","",4,1,0,0,4,0,11,7,3,3,8,4,7,11,58,42,2.86,45,75,56,31,17,34,64,9.06,2.83,0,0,0,0,0,0,0,0,0,Športni Park (Nova Gorica)
1502562000,Aug 12 2017 - 6:20pm,complete,3000,Olimpija,Rudar,2.44,1.44,4,0,4,2,2,0,"25,44,52,90'3","",6,2,1,0,3,0,12,11,6,4,6,7,15,18,57,43,2.56,36,73,53,31,6,34,70,12.24,2.44,0,0,0,0,0,0,0,0,0,Stadion Stožice (Ljubljana)
1502640000,Aug 13 2017 - 4:00pm,complete,800,Krško,Ankaran Hrvatini,1.33,0.72,2,2,4,3,2,1,"5,29","26,64",5,1,1,0,4,0,11,7,6,3,5,4,12,24,49,51,3.31,64,81,62,48,25,42,81,8.27,2.78,0,0,0,0,0,0,0,0,0,Štadion Matije Gubca (Krško)
1503151200,Aug 19 2017 - 2:00pm,complete,500,Triglav,Gorica,0.67,1.00,1,3,4,1,1,0,"26","57,84,86",7,8,2,0,0,0,15,16,7,7,8,9,10,7,47,53,2.39,36,75,42,23,6,25,58,9.72,3.17,0,0,0,0,0,0,0,0,0,Športni Center Stanko Mlakar (Kranj)
1503166800,Aug 19 2017 - 6:20pm,complete,2400,Maribor,Krško,2.00,0.56,3,2,5,1,1,0,"17,74,90'5","63,81",9,9,1,0,2,0,17,12,8,3,9,9,11,10,57,43,2.39,42,64,42,28,17,28,70,11.83,2.67,0,0,0,0,0,0,0,0,0,Ljudski vrt (Maribor)
1503240600,Aug 20 2017 - 2:50pm,complete,1250,Ankaran Hrvatini,Olimpija,0.72,1.89,1,3,4,0,0,0,"57","49,77,89",2,14,3,0,2,0,5,17,3,7,2,10,12,12,30,70,2.36,42,73,42,23,9,33,64,8.71,2.73,0,0,0,0,0,0,0,0,0,Športni center Dravograd (Dravograd)
1503252000,Aug 20 2017 - 6:00pm,complete,1300,Domžale,Aluminij,2.22,0.94,2,2,4,3,2,1,"3,26","29,80",13,4,1,0,2,0,18,7,9,3,9,4,8,17,49,51,3.00,45,72,56,36,17,39,64,12.16,2.89,0,0,0,0,0,0,0,0,0,Športni Park (Domžale)
1503338400,Aug 21 2017 - 6:00pm,complete,900,Rudar,Celje,1.33,0.94,2,1,3,2,2,0,"1,8","49",5,2,1,0,2,1,8,4,5,3,3,1,20,13,51,49,2.72,59,75,64,28,12,33,70,13.30,3.05,0,0,0,0,0,0,0,0,0,Štadion Ob Jezeru (Velenje)
1503763200,Aug 26 2017 - 4:00pm,complete,370,Celje,Ankaran Hrvatini,1.83,0.72,4,1,5,3,2,1,"16,20,83,86","21",11,3,1,0,4,0,15,10,3,5,12,5,9,11,61,39,3.47,70,83,64,53,28,42,78,9.00,3.00,0,0,0,0,0,0,0,0,0,Stadion Z'dežele (Celje)
1503771600,Aug 26 2017 - 6:20pm,complete,500,Gorica,Rudar,1.61,1.44,1,0,1,0,0,0,"90'1","",6,10,2,0,1,0,6,11,3,5,3,6,21,14,42,58,2.81,39,78,59,31,12,34,70,10.81,2.44,0,0,0,0,0,0,0,0,0,Športni Park (Nova Gorica)
1503842400,Aug 27 2017 - 2:00pm,complete,300,Aluminij,Triglav,0.89,0.89,2,0,2,0,0,0,"75,90'5","",2,3,2,0,4,1,13,5,6,2,7,3,18,13,57,43,2.75,50,86,47,23,11,22,50,7.72,3.78,0,0,0,0,0,0,0,0,0,Športni Park Aluminij (Kidričevo)
1503849600,Aug 27 2017 - 4:00pm,complete,550,Krško,Domžale,1.33,1.83,4,2,6,1,1,0,"43,68,70,88","54,58",1,7,6,0,3,1,2,13,2,8,0,5,9,15,34,66,2.95,62,78,62,34,17,42,72,12.00,2.72,0,0,0,0,0,0,0,0,0,Štadion Matije Gubca (Krško)
1503858000,Aug 27 2017 - 6:20pm,complete,13000,Olimpija,Maribor,2.44,2.50,0,0,0,0,0,0,"","",5,1,2,0,4,0,8,6,4,3,4,3,12,13,56,44,2.89,42,78,58,36,20,31,56,13.78,1.94,0,0,0,0,0,0,0,0,0,Stadion Stožice (Ljubljana)
1504886400,Sep 8 2017 - 4:00pm,complete,550,Rudar,Aluminij,1.33,0.94,0,0,0,0,0,0,"","",13,0,1,0,3,0,16,11,4,6,12,5,12,12,53,47,2.81,56,72,59,31,17,36,67,11.29,3.33,0,0,0,0,0,0,0,0,0,Štadion Ob Jezeru (Velenje)
1504894800,Sep 8 2017 - 6:20pm,complete,3000,Maribor,Celje,2.00,0.94,0,0,0,0,0,0,"","",5,7,2,0,2,0,19,17,8,7,11,10,11,9,63,37,2.50,50,67,56,28,12,31,70,13.22,2.50,0,0,0,0,0,0,0,0,0,Ljudski vrt (Maribor)
1504965600,Sep 9 2017 - 2:00pm,complete,50,Ankaran Hrvatini,Gorica,0.72,1.00,0,2,2,2,0,2,"","12,17",8,7,2,0,1,0,8,12,5,9,3,3,15,12,55,45,2.42,39,81,45,17,6,33,56,8.34,2.95,0,0,0,0,0,0,0,0,0,Športni center Dravograd (Dravograd)
1504972800,Sep 9 2017 - 4:00pm,complete,600,Domžale,Triglav,2.22,0.89,6,1,7,4,3,1,"11,23,38,75,79,90'1","22",7,5,4,0,2,0,10,9,7,3,3,6,24,22,54,46,2.89,39,78,50,28,14,31,53,12.00,3.56,0,0,0,0,0,0,0,0,0,Športni Park (Domžale)
1505055000,Sep 10 2017 - 2:50pm,complete,1500,Krško,Olimpija,1.33,1.89,2,4,6,3,2,1,"8,33","25,53,56,74",1,4,5,0,2,0,3,9,2,5,1,4,16,15,33,67,2.42,48,67,42,23,12,31,67,10.53,2.56,0,0,0,0,0,0,0,0,0,Štadion Matije Gubca (Krško)
1505493900,Sep 15 2017 - 4:45pm,complete,300,Celje,Krško,1.83,0.56,0,0,0,0,0,0,"","",11,2,2,0,2,0,10,7,6,3,4,4,18,13,61,39,2.86,53,78,50,34,20,34,70,10.11,3.33,0,0,0,0,0,0,0,0,0,Stadion Z'dežele (Celje)
1505563200,Sep 16 2017 - 12:00pm,complete,300,Triglav,Rudar,0.67,1.44,1,2,3,1,0,1,"79","35,73",3,6,2,0,3,0,17,13,10,5,7,8,13,27,54,46,2.75,39,78,56,36,9,34,75,10.07,3.22,0,0,0,0,0,0,0,0,0,Športni Center Stanko Mlakar (Kranj)
1505570400,Sep 16 2017 - 2:00pm,complete,200,Aluminij,Ankaran Hrvatini,0.89,0.72,1,1,2,1,1,0,"18","57",7,1,1,0,1,0,21,4,6,2,15,2,11,13,70,30,3.28,67,86,59,48,22,33,73,7.39,2.67,0,0,0,0,0,0,0,0,0,Športni Park Aluminij (Kidričevo)
1505586000,Sep 16 2017 - 6:20pm,complete,4000,Olimpija,Domžale,2.44,1.83,1,0,1,0,0,0,"61","",3,6,2,0,3,0,4,8,2,3,2,5,23,13,46,54,2.67,50,73,56,34,12,36,67,13.73,2.33,0,0,0,0,0,0,0,0,0,Stadion Stožice (Ljubljana)
1505664000,Sep 17 2017 - 4:00pm,complete,1500,Gorica,Maribor,1.61,2.50,0,3,3,2,0,2,"","27,43,60",7,7,0,0,1,0,15,11,9,3,6,8,8,9,53,47,3.14,45,84,64,36,25,31,56,12.35,1.94,0,0,0,0,0,0,0,0,0,Športni Park (Nova Gorica)
1506104400,Sep 22 2017 - 6:20pm,complete,1500,Aluminij,Maribor,0.89,2.50,2,3,5,1,1,0,"15,69","65,74,89",3,4,3,0,3,1,9,9,5,5,4,4,9,13,43,57,3.14,56,89,61,36,22,28,53,11.17,2.22,0,0,0,0,0,0,0,0,0,Športni Park Aluminij (Kidričevo)
1506168000,Sep 23 2017 - 12:00pm,complete,300,Triglav,Ankaran Hrvatini,0.67,0.72,1,3,4,2,1,1,"41","25,62,85",8,2,3,0,3,0,16,9,8,6,8,3,11,13,57,43,3.22,56,81,59,53,22,36,81,7.83,3.17,0,0,0,0,0,0,0,0,0,Športni Center Stanko Mlakar (Kranj)
1506175200,Sep 23 2017 - 2:00pm,complete,300,Gorica,Krško,1.61,0.56,2,1,3,2,1,1,"21,73","6",8,7,1,0,2,0,9,8,4,4,5,4,22,9,57,43,2.67,39,75,48,28,17,28,67,9.68,2.72,0,0,0,0,0,0,0,0,0,Športni Park (Nova Gorica)
1506190800,Sep 23 2017 - 6:20pm,complete,1300,Celje,Olimpija,1.83,1.89,0,0,0,0,0,0,"","",2,5,2,0,2,0,8,12,4,8,4,4,12,17,36,64,2.58,53,70,45,28,14,31,64,11.26,2.78,0,0,0,0,0,0,0,0,0,Stadion Z'dežele (Celje)
1506271500,Sep 24 2017 - 4:45pm,complete,650,Domžale,Rudar,2.22,1.44,0,1,1,1,0,1,"","42",9,4,0,0,2,0,25,11,11,6,14,5,12,12,65,35,2.95,39,75,59,36,12,39,70,13.91,2.50,0,0,0,0,0,0,0,0,0,Športni Park (Domžale)
1506703500,Sep 29 2017 - 4:45pm,complete,400,Celje,Domžale,1.83,1.83,1,1,2,2,1,1,"12","27",2,8,5,0,2,0,6,9,2,6,4,3,19,15,44,56,3.11,67,81,64,39,20,42,70,12.73,2.94,0,0,0,0,0,0,0,0,0,Stadion Z'dežele (Celje)
1506776400,Sep 30 2017 - 1:00pm,complete,160,Ankaran Hrvatini,Rudar,0.72,1.44,0,3,3,1,0,1,"","27,50,68",3,1,0,0,1,0,12,13,4,6,8,7,11,12,45,55,2.78,42,84,59,31,9,42,73,8.69,3.00,0,0,0,0,0,0,0,0,0,Športni center Dravograd (Dravograd)
