timestamp,date_GMT,status,attendance,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1471087800,Aug 13 2016 - 11:30am,complete,21037,Hull City,Leicester City,1.47,0.53,2,1,3,1,1,0,"45'1,57","47",5,3,2,0,2,0,11,15,4,6,7,9,7,17,52,48,3.11,61,85,61,32,21,37,71,8.42,4.15,3.41,3.19,2.39,0,0,0,0,0,0,KCOM Stadium (Hull)
1471096800,Aug 13 2016 - 2:00pm,complete,19126,Burnley,Swansea City,1.74,0.74,0,1,1,0,0,0,"","82",7,4,3,0,2,0,12,15,6,8,6,7,10,14,56,44,2.63,53,74,48,27,16,35,64,8.21,3.21,2.45,3.22,3.26,0,0,0,0,0,0,Turf Moor (Burnley)
1471096800,Aug 13 2016 - 2:00pm,complete,24490,Crystal Palace,West Bromwich Albion,1.05,0.84,0,1,1,0,0,0,"","74",3,6,2,0,2,0,12,12,7,6,5,6,12,14,52,48,2.48,48,69,50,24,6,29,69,9.58,4.15,2.2,3.25,3.8,0,0,0,0,0,0,Selhurst Park (London)
1471096800,Aug 13 2016 - 2:00pm,complete,39494,Everton,Tottenham Hotspur,2.26,1.74,1,1,2,1,1,0,"5","59",5,6,0,0,0,0,10,6,7,4,3,2,10,14,40,60,3.00,53,79,50,35,16,32,63,12.90,3.89,3.13,3.36,2.45,0,0,0,0,0,0,Goodison Park (Liverpool)
1471096800,Aug 13 2016 - 2:00pm,complete,32110,Middlesbrough,Stoke City,0.95,0.89,1,1,2,1,1,0,"11","67",9,6,3,0,5,0,8,10,3,2,5,8,18,13,49,51,2.35,47,66,42,27,8,26,71,9.36,3.89,2.49,3.2,3.21,0,0,0,0,0,0,Riverside Stadium (Middlesbrough)
1471096800,Aug 13 2016 - 2:00pm,complete,31488,Southampton,Watford,1.26,0.63,1,1,2,1,0,1,"58","9",6,2,1,0,2,1,18,6,10,0,8,6,8,12,65,35,2.42,37,66,40,27,11,29,55,9.90,3.53,1.8,3.64,5.13,0,0,0,0,0,0,St. Mary's Stadium (Southampton- Hampshire)
1471105800,Aug 13 2016 - 4:30pm,complete,54362,Manchester City,Sunderland,2.11,0.53,2,1,3,1,1,0,"4,87","71",10,5,1,0,2,0,13,5,5,3,8,2,11,11,70,30,2.69,53,84,50,29,8,24,61,11.84,4.53,1.21,7,9.99,0,0,0,0,0,0,Etihad Stadium (Manchester)
1471177800,Aug 14 2016 - 12:30pm,complete,11355,AFC Bournemouth,Manchester United,1.63,1.84,1,3,4,1,0,1,"69","40,59,64",4,2,0,0,1,0,5,6,3,5,2,1,6,10,51,49,2.87,50,79,55,40,11,32,76,9.27,3.69,5.21,3.68,1.78,0,0,0,0,0,0,Vitality Stadium (Bournemouth- Dorset)
1471186800,Aug 14 2016 - 3:00pm,complete,60033,Arsenal,Liverpool,2.37,1.84,3,4,7,2,1,1,"31,64,75","45'1,49,56,63",5,4,3,0,3,0,6,10,2,5,4,5,13,15,52,48,2.95,56,82,56,32,14,42,74,13.95,3.84,2.14,3.44,3.74,0,0,0,0,0,0,Emirates Stadium (London)
1471287600,Aug 15 2016 - 7:00pm,complete,41521,Chelsea,West Ham United,2.68,1.05,2,1,3,0,0,0,"47,89","77",7,1,5,0,2,0,12,4,5,2,7,2,15,13,60,40,3.50,66,90,79,45,24,58,84,11.11,3.68,1.62,4.01,6.35,0,0,0,0,0,0,Stamford Bridge (London)
1471633200,Aug 19 2016 - 7:00pm,complete,75326,Manchester United,Southampton,1.79,1.16,2,0,2,1,1,0,"36,52","",4,0,0,0,0,0,10,10,4,2,6,8,11,7,48,52,2.34,53,77,42,16,8,32,71,12.16,3.89,1.47,4.51,8.55,0,0,0,0,0,0,Old Trafford (Manchester)
1471692600,Aug 20 2016 - 11:30am,complete,27455,Stoke City,Manchester City,1.42,2.00,1,4,5,2,0,2,"49","27,36,86,90'5",7,7,3,0,4,0,4,5,3,2,1,3,11,12,42,58,2.98,50,87,61,40,14,50,84,12.21,4.10,5.54,4.06,1.68,0,0,0,0,0,0,Bet365 Stadium (Stoke-on-Trent- Staffordshire)
1471701600,Aug 20 2016 - 2:00pm,complete,20024,Swansea City,Hull City,1.42,0.32,0,2,2,0,0,0,"","79,90'2",8,3,0,0,0,0,19,8,4,4,15,4,7,10,62,38,3.03,45,79,61,42,14,27,71,11.84,3.74,1.87,3.54,4.94,0,0,0,0,0,0,Liberty Stadium (Swansea)
1471701600,Aug 20 2016 - 2:00pm,complete,31447,Tottenham Hotspur,Crystal Palace,2.79,1.11,1,0,1,0,0,0,"82","",10,4,3,0,3,0,16,9,4,3,12,6,19,9,52,48,3.16,48,87,58,37,21,40,77,13.10,3.79,1.51,4.43,7.67,0,0,0,0,0,0,White Hart Lane (London)
1471701600,Aug 20 2016 - 2:00pm,complete,20772,Watford,Chelsea,1.47,2.21,1,2,3,0,0,0,"55","80,87",0,5,4,0,3,0,4,8,2,4,2,4,20,9,39,61,2.63,50,74,50,27,11,29,79,9.00,4.95,5.11,3.74,1.79,0,0,0,0,0,0,Vicarage Road Stadium (Watford)
1471701600,Aug 20 2016 - 2:00pm,complete,23654,West Bromwich Albion,Everton,1.53,0.95,1,2,3,2,1,1,"9","45'2,60",7,4,3,0,1,0,11,9,5,4,6,5,15,10,40,60,2.56,48,68,47,35,11,40,71,8.26,3.69,3.17,3.3,2.49,0,0,0,0,0,0,The Hawthorns (West Bromwich)
1471701600,Aug 20 2016 - 2:00pm,complete,21313,Burnley,Liverpool,1.74,1.84,2,0,2,2,2,0,"2,37","",1,12,0,0,1,0,2,19,0,7,2,12,13,5,28,72,2.71,53,74,45,27,16,37,69,11.16,3.52,6.77,4.23,1.57,0,0,0,0,0,0,Turf Moor (Burnley)
1471710600,Aug 20 2016 - 4:30pm,complete,32008,Leicester City,Arsenal,1.79,1.58,0,0,0,0,0,0,"","",2,7,1,0,2,0,5,13,3,7,2,6,11,6,51,49,3.21,58,87,69,43,19,29,74,10.79,3.37,2.93,3.6,2.49,0,0,0,0,0,0,King Power Stadium (Leicester- Leicestershire)
