home_ppg_pre_game	home_ppg_5games_pre_game	home_average_shots_pre_game	home_average_shots_against_pre_game	away_total_goal_count_5games_pre_game	away_ppg_pre_game	away_ppg_5games_pre_game	away_average_shots_pre_game	home_total_goal_count_5games_pre_game	away_average_possession_pre_game	home_average_possession_pre_game	away_goals_conceded_pre_game	home_goals_conceded_pre_game	away_goals_scored_pre_game	home_goals_scored_pre_game	away_total_goal_count_pre_game	home_total_goal_count_pre_game	away_average_shots_against_pre_game	Result	away_team_name	home_team_name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete	discrete
																		class	meta	meta
1.84210526316	1.0	7.44736842105	6.68421052632	2.2	1.68421052632	1.4	9.78947368421	1.8	54.1842105263	59.5	1.39473684211	0.973684210526	1.52631578947	1.63157894737	2.92105263158	2.60526315789	9.39473684211	1	Tottenham Hotspur	Manchester United
1.0	1.0	6.0	12.0	3.8	1.0	1.2	8.18421052632	2.54	47.8684210526	45.0	1.5	1.5	0.815789473684	0.9	2.31578947368	2.54	8.60526315789	2	Aston Villa	AFC Bournemouth
1.0	1.0	6.0	12.0	2.2	1.26315789474	1.2	8.89473684211	2.54	44.8157894737	45.0	1.34210526316	1.5	1.23684210526	0.9	2.57894736842	2.54	9.97368421053	2	Crystal Palace	Norwich City
1.07894736842	2.0	9.13157894737	10.0263157895	1.8	1.0	1.6	7.18421052632	3.0	47.9473684211	44.6052631579	1.39473684211	1.44736842105	0.815789473684	1.21052631579	2.21052631579	2.65789473684	11.3684210526	1	Sunderland	Leicester City
1.23684210526	1.2	9.02631578947	9.13157894737	2.54	1.0	1.0	6.0	2.8	45.0	53.3947368421	1.5	1.31578947368	0.9	1.26315789474	2.54	2.57894736842	12.0	0	Watford	Everton
2.28947368421	2.0	10.2894736842	8.39473684211	3.0	1.47368421053	1.8	8.28947368421	2.8	49.2368421053	55.6052631579	1.28947368421	0.842105263158	1.21052631579	1.92105263158	2.5	2.76315789474	10.5263157895	0	Swansea City	Chelsea
1.02631578947	0.8	9.05263157895	8.81578947368	3.6	1.57894736842	0.8	9.02631578947	3.0	51.0526315789	49.3421052632	0.868421052632	1.65789473684	1.42105263158	1.05263157895	2.28947368421	2.71052631579	7.36842105263	0	Southampton	Newcastle United
1.97368421053	1.6	10.7894736842	7.86842105263	1.4	1.23684210526	0.8	8.60526315789	2.4	48.7368421053	54.5789473684	1.23684210526	0.947368421053	1.15789473684	1.86842105263	2.39473684211	2.81578947368	10.7894736842	2	West Ham United	Arsenal
1.42105263158	1.6	7.60526315789	7.21052631579	3.4	1.63157894737	0.8	11.4210526316	2.8	53.1052631579	49.2105263158	1.26315789474	1.18421052632	1.36842105263	1.26315789474	2.63157894737	2.44736842105	7.86842105263	2	Liverpool	Stoke City
1.15789473684	1.6	7.92105263158	9.71052631579	4.0	2.07894736842	3.0	12.0263157895	2.2	56.1842105263	45.4210526316	1.0	1.34210526316	2.18421052632	1.0	3.18421052632	2.34210526316	7.44736842105	2	Manchester City	West Bromwich Albion
1.0	1.8	8.18421052632	8.73684210526	1.4	1.92105263158	1.6	7.44736842105	3.0	59.2894736842	47.5789473684	0.921052631579	1.5	1.63157894737	0.815789473684	2.55263157895	2.31578947368	6.71052631579	2	Manchester United	Aston Villa
1.60526315789	0.8	9.15789473684	7.36842105263	3.0	1.23684210526	0.8	9.07894736842	3.6	53.5	51.0	1.31578947368	0.868421052632	1.26315789474	1.44736842105	2.57894736842	2.31578947368	9.10526315789	2	Everton	Southampton
1.31578947368	1.2	8.34210526316	10.9736842105	3.4	1.13157894737	2.6	9.31578947368	1.8	44.8947368421	48.6052631579	1.44736842105	1.21052631579	1.26315789474	1.21052631579	2.71052631579	2.42105263158	10.0789473684	2	Leicester City	West Ham United
1.42105263158	1.4	8.44736842105	10.6315789474	2.8	1.05263157895	1.0	9.02631578947	2.8	49.4736842105	49.2894736842	1.65789473684	1.31578947368	1.10526315789	1.21052631579	2.76315789474	2.52631578947	8.94736842105	1	Newcastle United	Swansea City
0.973684210526	1.0	7.31578947368	11.5526315789	2.832	0.973684210526	0.8	6.21052631579	2.4	45.5	48.1052631579	1.53947368421	1.44736842105	0.902631578947	0.815789473684	2.57842105263	2.26315789474	11.8421052632	2	Norwich City	Sunderland
1.60526315789	1.2	9.65789473684	9.13157894737	2.6	1.42105263158	1.4	7.60526315789	1.6	49.3684210526	54.1578947368	1.18421052632	1.42105263158	1.26315789474	1.5	2.44736842105	2.92105263158	7.21052631579	0	Stoke City	Tottenham Hotspur
1.0	1.0	6.02631578947	11.9210526316	2.8	1.13157894737	1.4	7.92105263158	2.832	44.9473684211	44.7368421053	1.36842105263	1.51315789474	0.947368421053	0.928947368421	2.31578947368	2.57842105263	9.81578947368	0	West Bromwich Albion	Watford
1.34210526316	1.8	9.0	10.1578947368	2.0	1.89473684211	1.0	11.0263157895	2.6	54.2631578947	44.8947368421	0.973684210526	1.31578947368	1.81578947368	1.28947368421	2.78947368421	2.60526315789	7.94736842105	2	Arsenal	Crystal Palace
2.07894736842	3.0	11.9736842105	7.39473684211	2.8	2.23684210526	1.6	10.3684210526	3.6	55.4736842105	56.5263157895	0.868421052632	1.0	1.89473684211	2.21052631579	2.76315789474	3.21052631579	8.44736842105	1	Chelsea	Manchester City
