,home_total_goal_count_pre_game,away_total_goal_count_pre_game,home_goals_scored_pre_game,away_goals_scored_pre_game,home_goals_conceded_pre_game,away_goals_conceded_pre_game,home_average_possession_pre_game,away_average_possession_pre_game,home_total_goal_count_5games_pre_game,away_total_goal_count_5games_pre_game,home_average_shots_pre_game,away_average_shots_pre_game,home_average_shots_against_pre_game,away_average_shots_against_pre_game,home_ppg_pre_game,away_ppg_pre_game,home_ppg_5games_pre_game,away_ppg_5games_pre_game,results
0,2.6052631578947367,2.9210526315789473,1.631578947368421,1.5263157894736843,0.9736842105263158,1.394736842105263,59.5,54.18421052631579,1.8,2.2,7.447368421052632,9.789473684210526,6.684210526315789,9.394736842105264,1.8421052631578947,1.6842105263157894,1.0,1.4,win
1,2.540000000000001,2.3157894736842106,0.8999999999999999,0.8157894736842105,1.5,1.5,45.0,47.86842105263158,2.54,3.8,6.0,8.18421052631579,12.0,8.605263157894736,1.0,1.0,1.0,1.2,loss
2,2.540000000000001,2.5789473684210527,0.8999999999999999,1.236842105263158,1.5,1.3421052631578947,45.0,44.81578947368421,2.54,2.2,6.0,8.894736842105264,12.0,9.973684210526315,1.0,1.263157894736842,1.0,1.2,loss
3,2.6578947368421053,2.210526315789474,1.2105263157894737,0.8157894736842105,1.4473684210526316,1.394736842105263,44.60526315789474,47.94736842105263,3.0,1.8,9.131578947368421,7.184210526315789,10.026315789473685,11.368421052631579,1.0789473684210527,1.0,2.0,1.6,win
4,2.5789473684210527,2.540000000000001,1.263157894736842,0.8999999999999999,1.3157894736842106,1.5,53.39473684210526,45.0,2.8,2.54,9.026315789473685,6.0,9.131578947368421,12.0,1.236842105263158,1.0,1.2,1.0,draw
5,2.763157894736842,2.5,1.9210526315789473,1.2105263157894737,0.8421052631578947,1.2894736842105263,55.60526315789474,49.23684210526316,2.8,3.0,10.289473684210526,8.289473684210526,8.394736842105264,10.526315789473685,2.289473684210526,1.4736842105263157,2.0,1.8,draw
6,2.710526315789474,2.289473684210526,1.0526315789473684,1.4210526315789473,1.6578947368421053,0.868421052631579,49.3421052631579,51.05263157894737,3.0,3.6,9.052631578947368,9.026315789473685,8.81578947368421,7.368421052631579,1.0263157894736843,1.5789473684210527,0.8,0.8,draw
7,2.8157894736842106,2.3947368421052633,1.868421052631579,1.1578947368421053,0.9473684210526315,1.236842105263158,54.578947368421055,48.73684210526316,2.4,1.4,10.789473684210526,8.605263157894736,7.868421052631579,10.789473684210526,1.9736842105263157,1.236842105263158,1.6,0.8,loss
8,2.4473684210526314,2.6315789473684212,1.263157894736842,1.368421052631579,1.1842105263157894,1.263157894736842,49.21052631578947,53.10526315789474,2.8,3.4,7.605263157894737,11.421052631578947,7.2105263157894735,7.868421052631579,1.4210526315789473,1.631578947368421,1.6,0.8,loss
9,2.3421052631578947,3.1842105263157894,1.0,2.1842105263157894,1.3421052631578947,1.0,45.421052631578945,56.18421052631579,2.2,4.0,7.921052631578948,12.026315789473685,9.710526315789474,7.447368421052632,1.1578947368421053,2.0789473684210527,1.6,3.0,loss
10,2.3157894736842106,2.5526315789473686,0.8157894736842105,1.631578947368421,1.5,0.9210526315789473,47.578947368421055,59.28947368421053,3.0,1.4,8.18421052631579,7.447368421052632,8.736842105263158,6.7105263157894735,1.0,1.9210526315789473,1.8,1.6,loss
11,2.3157894736842106,2.5789473684210527,1.4473684210526316,1.263157894736842,0.868421052631579,1.3157894736842106,51.0,53.5,3.6,3.0,9.157894736842104,9.078947368421053,7.368421052631579,9.105263157894736,1.605263157894737,1.236842105263158,0.8,0.8,loss
12,2.4210526315789473,2.710526315789474,1.2105263157894737,1.263157894736842,1.2105263157894737,1.4473684210526316,48.60526315789474,44.89473684210526,1.8,3.4,8.342105263157896,9.31578947368421,10.973684210526315,10.078947368421053,1.3157894736842106,1.131578947368421,1.2,2.6,loss
13,2.526315789473684,2.763157894736842,1.2105263157894737,1.105263157894737,1.3157894736842106,1.6578947368421053,49.28947368421053,49.473684210526315,2.8,2.8,8.447368421052632,9.026315789473685,10.631578947368421,8.947368421052632,1.4210526315789473,1.0526315789473684,1.4,1.0,win
14,2.263157894736842,2.5784210526315796,0.8157894736842105,0.9026315789473683,1.4473684210526316,1.5394736842105263,48.10526315789474,45.5,2.4,2.832,7.315789473684211,6.2105263157894735,11.552631578947368,11.842105263157896,0.9736842105263158,0.9736842105263158,1.0,0.8,loss
15,2.9210526315789473,2.4473684210526314,1.5,1.263157894736842,1.4210526315789473,1.1842105263157894,54.1578947368421,49.36842105263158,1.6,2.6,9.657894736842104,7.605263157894737,9.131578947368421,7.2105263157894735,1.605263157894737,1.4210526315789473,1.2,1.4,draw
16,2.5784210526315796,2.3157894736842106,0.9289473684210525,0.9473684210526315,1.513157894736842,1.368421052631579,44.73684210526316,44.94736842105263,2.832,2.8,6.026315789473684,7.921052631578948,11.921052631578947,9.81578947368421,1.0,1.131578947368421,1.0,1.4,draw
17,2.6052631578947367,2.789473684210526,1.2894736842105263,1.8157894736842106,1.3157894736842106,0.9736842105263158,44.89473684210526,54.26315789473684,2.6,2.0,9.0,11.026315789473685,10.157894736842104,7.947368421052632,1.3421052631578947,1.894736842105263,1.8,1.0,loss
18,3.210526315789474,2.763157894736842,2.210526315789474,1.894736842105263,1.0,0.868421052631579,56.526315789473685,55.473684210526315,3.6,2.8,11.973684210526315,10.368421052631579,7.394736842105263,8.447368421052632,2.0789473684210527,2.236842105263158,3.0,1.6,win
